year,hname,aname,hgoals,agoals,hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,hsaves,asaves
2022,Qatar,Ecuador,0,2,55,45,0,3,5,6,4,2,0,0,14,14,1,0
2022,England,IR Iran,6,2,75,25,7,2,10,7,0,2,0,0,8,14,1,1
2022,Senegal,Netherlands,0,2,49,51,4,3,11,7,2,1,0,0,13,13,1,4
2022,United States,Wales,1,1,58,42,1,3,5,6,4,2,0,0,14,10,2,0
2022,Argentina,Saudi Arabia,1,2,68,32,7,2,12,2,0,6,0,0,7,18,0,6
2022,Denmark,Tunisia,0,0,59,41,6,1,9,6,2,1,0,0,6,10,1,6
2022,Mexico,Poland,0,0,60,40,4,3,11,7,2,1,0,0,12,16,3,5
2022,France,Australia,4,1,62,38,6,1,13,4,0,3,0,0,5,11,0,2
2022,Morocco,Croatia,0,0,39,61,1,1,1,3,1,0,0,0,18,11,1,1
2022,Germany,Japan,1,2,72,28,9,4,19,8,0,0,0,0,6,14,2,8
2022,Spain,Costa Rica,7,0,81,19,8,0,14,0,0,2,0,0,8,11,0,1
2022,Belgium,Canada,1,0,53,47,2,3,4,14,3,2,0,0,11,14,3,1
2022,Switzerland,Cameroon,1,0,49,51,3,3,6,5,2,1,0,0,12,10,3,2
2022,Uruguay,South Korea,0,0,56,44,0,0,6,5,1,1,0,0,6,10,0,1
2022,Portugal,Ghana,3,2,62,38,5,3,8,7,2,4,0,0,14,19,1,2
2022,Brazil,Serbia,2,0,59,41,9,0,17,3,0,3,0,0,8,11,0,7
