date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Jan 27 2018 - 1:00pm,South Korea,Moldova,1,0,1,50,50,4,0,0,0,0,13,0,-1,-1
Jan 29 2018 - 2:30am,USMNT,Bosnia-Herzegovina,0,0,1,51,49,4,3,0,2,0,11,13,19,15
Jan 30 2018 - 11:00am,South Korea,Jamaica,2,2,1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1
Feb 01 2018 - 2:00am,Mexico,Bosnia-Herzegovina,1,0,1,50,50,4,0,0,2,1,13,5,-1,-1
Feb 03 2018 - 2:30pm,South Korea,Latvia,1,0,-1,50,50,8,0,-1,-1,-1,23,2,-1,-1
Mar 21 2018 - 5:00pm,Liechtenstein,Andorra,0,1,4,56,44,0,5,0,4,0,5,9,13,20
Mar 22 2018 - 11:30am,Philippines,Fiji,3,2,3,58,42,9,6,0,1,0,16,9,19,12
Mar 22 2018 - 5:00pm,Malta,Luxembourg,0,1,1,34,66,3,7,0,1,0,4,15,12,9
Mar 22 2018 - 5:00pm,Faroe Islands,Latvia,1,1,1,52,48,6,4,0,4,0,10,10,15,13
Mar 22 2018 - 7:00pm,Denmark,Panama,1,0,1,63,37,9,2,0,3,1,19,3,14,13
Mar 23 2018 - 11:30am,Singapore,Maldives,3,2,1,65,35,10,5,0,2,0,14,6,18,17
Mar 23 2018 - 12:20pm,Japan,Mali,1,1,1,52,48,9,5,0,2,0,15,8,18,14
Mar 23 2018 - 4:00pm,Russia,Brazil,0,3,0,37,63,4,15,0,0,0,10,23,8,6
Mar 23 2018 - 4:00pm,Finland,FYR Macedonia,0,0,3,46,54,2,4,0,2,0,6,11,29,13
Mar 23 2018 - 4:00pm,Azerbaijan,Belarus,0,1,2,61,39,4,3,0,2,0,13,7,17,17
Mar 23 2018 - 4:00pm,Cyprus,Montenegro,0,0,0,51,49,5,0,0,1,0,10,4,15,14
Mar 23 2018 - 5:00pm,Norway,Australia,4,1,1,51,49,7,5,0,0,0,12,6,11,13
Mar 23 2018 - 5:00pm,Bulgaria,Bosnia-Herzegovina,0,1,2,46,54,7,3,1,0,0,10,9,13,11
Mar 23 2018 - 5:30pm,Turkey,Republic of Ireland,1,0,1,61,39,7,2,0,2,0,13,7,11,14
Mar 23 2018 - 6:00pm,Greece,Switzerland,0,1,1,53,47,2,4,0,0,0,10,10,18,16
Mar 23 2018 - 6:00pm,Hungary,Kazakhstan,2,3,2,51,49,8,5,0,2,0,13,6,10,25
Mar 23 2018 - 6:15pm,Tunisia,Iran,1,0,2,54,46,7,7,0,2,0,13,10,20,23
Mar 23 2018 - 7:00pm,Saudi Arabia,Ukraine,1,1,3,50,50,3,7,0,2,0,5,18,14,22
Mar 23 2018 - 7:30pm,Serbia,Morocco,1,2,1,57,43,4,4,0,2,0,14,7,20,11
Mar 23 2018 - 7:45pm,Germany,Spain,1,1,0,50,50,5,3,0,0,0,10,8,10,11
Mar 23 2018 - 7:45pm,Netherlands,England,0,1,0,47,53,7,5,0,0,0,12,11,10,8
Mar 23 2018 - 7:45pm,Poland,Nigeria,0,1,1,56,44,6,2,0,1,0,13,9,16,19
Mar 23 2018 - 7:45pm,Portugal,Egypt,2,1,1,50,50,6,3,0,1,0,10,4,13,13
Mar 23 2018 - 7:45pm,Austria,Slovenia,3,0,1,50,50,9,3,0,1,0,19,7,10,14
Mar 23 2018 - 7:45pm,Scotland,Costa Rica,0,1,0,51,49,4,2,0,1,0,13,7,12,6
Mar 23 2018 - 7:45pm,Argentina,Italy,2,0,0,44,56,9,5,0,0,0,12,10,18,11
Mar 23 2018 - 8:00pm,France,Colombia,2,3,1,55,45,5,5,0,2,0,8,11,12,17
Mar 24 2018 - 12:30am,Peru,Croatia,2,0,2,39,61,4,8,1,2,0,8,16,14,9
Mar 24 2018 - 2:30am,Mexico,Iceland,3,0,2,59,41,6,5,0,4,0,10,11,11,16
Mar 24 2018 - 2:00pm,Northern Ireland,South Korea,2,1,0,44,56,4,5,0,0,0,6,14,11,8
Mar 24 2018 - 2:00pm,Armenia,Estonia,0,0,0,60,40,6,2,0,3,0,13,9,16,15
Mar 24 2018 - 3:00pm,Georgia,Lithuania,4,0,1,63,37,9,0,0,3,0,14,3,6,14
Mar 24 2018 - 4:00pm,Qatar,Syria,2,2,1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1
Mar 24 2018 - 5:00pm,Sweden,Chile,1,2,1,39,61,3,8,0,2,0,10,14,12,12
Mar 24 2018 - 6:00pm,Israel,Romania,1,2,2,50,50,8,6,0,1,0,11,12,16,17
Mar 24 2018 - 6:00pm,Togo,Ivory Coast,2,2,1,46,54,4,6,0,0,0,8,12,14,15
Mar 25 2018 - 2:00pm,Gibraltar,Latvia,1,0,2,45,55,3,4,0,2,0,7,11,14,13
Mar 25 2018 - 3:30pm,Kuwait,Cameroon,1,3,2,44,56,7,6,0,2,0,8,13,11,18
Mar 25 2018 - 4:00pm,Faroe Islands,Liechtenstein,3,0,1,54,46,9,4,0,1,0,12,13,13,12
Mar 26 2018 - 4:00pm,Finland,Malta,5,0,1,63,37,9,0,0,1,0,16,4,17,11
Mar 26 2018 - 4:00pm,Bulgaria,Kazakhstan,2,1,0,51,49,4,3,0,1,0,8,10,10,16
Mar 26 2018 - 5:00pm,Albania,Norway,0,1,1,50,50,0,5,0,1,0,7,19,11,24
Mar 26 2018 - 6:30pm,Portugal,Netherlands,0,3,1,57,43,8,5,1,2,0,12,6,14,10
Mar 27 2018 - 12:20pm,Japan,Ukraine,1,2,2,50,50,5,4,0,2,0,8,7,16,14
Mar 27 2018 - 3:00pm,Armenia,Lithuania,0,1,0,60,40,0,3,0,4,0,7,10,11,32
Mar 27 2018 - 3:00pm,Georgia,Estonia,2,0,1,59,41,6,2,0,1,0,21,6,13,17
Mar 27 2018 - 3:50pm,Russia,France,1,3,2,50,50,3,7,0,1,0,8,12,20,7
Mar 27 2018 - 4:00pm,Iran,Algeria,2,1,1,45,55,6,8,0,4,0,18,16,16,17
Mar 27 2018 - 4:00pm,Azerbaijan,FYR Macedonia,1,1,1,47,53,8,9,0,2,0,8,16,24,10
Mar 27 2018 - 5:00pm,Switzerland,Panama,6,0,0,58,42,10,3,0,1,0,13,5,18,13
