date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots,away_team_shots,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_fouls,away_team_fouls
Jan 23 2021 - 12:00am,Guatemala,Puerto Rico,1,0,66,34,12,2,20,3,2,0,0,0,11,10
Feb 01 2021 - 12:00am,USMNT,Trinidad and Tobago,7,0,66,34,11,0,13,2,0,0,2,0,12,11
Mar 13 2021 - 12:00pm,Kenya,South Sudan,1,0,59,41,4,2,9,5,0,0,0,0,12,7
Mar 15 2021 - 12:00pm,Kenya,Tanzania,2,1,36,64,4,3,8,5,2,0,0,0,22,11
Mar 24 2021 - 5:00pm,Qatar,Luxembourg,1,0,40,60,4,3,9,5,2,0,4,1,12,16
Mar 24 2021 - 5:00pm,Belarus,Honduras,1,1,49,51,2,7,7,14,2,1,2,0,15,9
Mar 25 2021 - 10:20am,Japan,South Korea,3,0,50,50,9,6,19,11,0,0,0,0,23,10
Mar 25 2021 - 1:45pm,Oman,India,1,1,50,50,5,2,15,3,0,0,2,0,8,10
Mar 25 2021 - 5:20pm,USMNT,Jamaica,4,1,67,33,9,4,25,8,1,0,0,0,19,14
Mar 25 2021 - 5:30pm,Saudi Arabia,Kuwait,1,0,59,41,2,2,15,7,1,0,2,0,14,15
Mar 27 2021 - 1:00am,Chile,Bolivia,2,1,69,31,8,3,13,9,2,0,0,0,9,5
Mar 27 2021 - 5:00pm,Qatar,Azerbaijan,2,1,52,48,5,4,11,5,4,0,4,0,10,10
Mar 27 2021 - 5:00pm,Bosnia-Herzegovina,Costa Rica,0,0,52,48,3,7,8,10,2,0,3,0,12,10
Mar 27 2021 - 8:00pm,Wales,Mexico,1,0,41,59,2,4,5,10,0,0,0,0,14,17
Mar 28 2021 - 2:00pm,Greece,Honduras,2,1,63,37,6,4,15,12,2,0,2,0,14,15
Mar 28 2021 - 4:05pm,Northern Ireland,USMNT,1,2,39,61,4,6,9,12,1,0,0,0,10,16
Mar 29 2021 - 1:00pm,Uzbekistan,Iraq,0,1,65,35,6,4,20,8,0,0,4,0,8,14
Mar 29 2021 - 3:00pm,UAE,India,6,0,50,50,13,2,23,2,0,0,2,0,8,16
Mar 30 2021 - 4:00pm,Jordan,Bahrain,2,1,44,56,5,4,20,18,0,0,0,0,9,17
Mar 30 2021 - 6:45pm,Qatar,Republic of Ireland,1,1,56,44,3,6,9,10,0,0,2,0,10,11
Mar 30 2021 - 8:00pm,Costa Rica,Mexico,0,1,36,64,2,4,8,18,2,0,0,0,21,14
Mar 31 2021 - 3:45pm,Sweden,Estonia,1,0,60,40,6,2,20,8,2,0,3,0,15,20
Mar 31 2021 - 6:45pm,Switzerland,Finland,3,2,63,37,9,3,21,6,1,0,1,0,11,7
May 23 2021 - 6:00pm,Ukraine,Bahrain,1,1,64,36,4,3,14,5,2,0,3,0,7,12
May 27 2021 - 5:00pm,Turkey,Azerbaijan,2,1,50,50,8,6,10,10,0,0,2,0,14,13
May 28 2021 - 4:30pm,Bahrain,Malaysia,2,0,58,42,4,2,10,6,1,0,3,0,12,11
May 28 2021 - 6:45pm,Italy,San Marino,7,0,75,25,11,0,24,3,0,0,0,0,13,11
May 29 2021 - 4:00pm,Sweden,Finland,2,0,52,48,5,2,11,9,0,0,1,0,13,12
May 30 2021 - 1:00am,Mexico,Iceland,2,1,65,35,7,2,15,3,0,0,2,0,3,8
